0.211175, 0.041443, 0.148058, 0.422159, 0.104423, 0.036632, 0.036109, 1
0.020104, 0.548347, 0.077597, 0.052611, 0.021974, 0.125560, 0.153808, 2
0.059744, 0.265424, 0.545860, 0.055286, 0.020775, 0.027767, 0.025143, 3
0.023564, 0.122298, 0.285796, 0.352718, 0.057432, 0.028370, 0.129821, 4
0.051840, 0.023603, 0.750131, 0.112307, 0.030959, 0.004378, 0.026782, 5
0.019291, 0.410366, 0.186265, 0.198163, 0.030335, 0.115977, 0.039604, 6
0.046502, 0.191134, 0.171064, 0.367989, 0.085326, 0.096082, 0.041903, 7
0.103964, 0.062964, 0.165786, 0.466976, 0.116519, 0.030564, 0.053228, 1
0.018579, 0.436731, 0.098810, 0.222903, 0.026050, 0.069204, 0.127724, 2
0.024120, 0.519466, 0.126004, 0.063123, 0.023555, 0.099943, 0.143788, 3
0.035815, 0.152603, 0.104437, 0.478195, 0.073524, 0.057414, 0.098011, 4
0.205676, 0.159664, 0.299606, 0.208205, 0.057500, 0.027634, 0.041715, 5
0.049232, 0.111505, 0.196186, 0.453245, 0.055587, 0.088956, 0.045288, 6
0.082529, 0.082634, 0.145921, 0.463133, 0.137121, 0.029009, 0.059654, 7
0.092796, 0.120489, 0.329372, 0.285387, 0.072789, 0.027991, 0.071176, 1
0.017137, 0.495017, 0.088555, 0.036225, 0.021821, 0.078349, 0.262896, 2
0.007817, 0.096078, 0.857813, 0.009014, 0.006820, 0.010215, 0.012244, 3
0.031693, 0.544576, 0.163524, 0.055604, 0.041192, 0.065878, 0.097534, 4
0.037354, 0.045532, 0.785467, 0.054882, 0.016157, 0.003205, 0.057403, 5
0.019133, 0.483721, 0.158615, 0.066389, 0.022609, 0.074899, 0.174635, 6
0.015954, 0.087516, 0.549296, 0.045846, 0.009499, 0.006859, 0.285029, 7
0.076795, 0.110325, 0.057989, 0.470249, 0.165210, 0.088006, 0.031426, 1
0.024911, 0.590644, 0.065856, 0.058089, 0.029333, 0.085478, 0.145688, 2
0.231898, 0.134589, 0.324135, 0.130911, 0.100766, 0.053540, 0.024161, 3
0.020209, 0.244754, 0.238593, 0.284686, 0.035643, 0.039048, 0.137066, 4
0.208084, 0.058689, 0.314424, 0.277446, 0.077976, 0.010870, 0.052512, 5
0.031169, 0.411714, 0.183987, 0.180093, 0.059915, 0.076611, 0.056511, 6
0.021120, 0.439983, 0.188245, 0.107829, 0.030141, 0.060702, 0.151979, 7
0.211175, 0.041443, 0.148058, 0.422159, 0.104423, 0.036632, 0.036109, 1
0.020104, 0.548347, 0.077597, 0.052611, 0.021974, 0.125560, 0.153808, 2
0.059744, 0.265424, 0.545860, 0.055286, 0.020775, 0.027767, 0.025143, 3
0.023564, 0.122298, 0.285796, 0.352718, 0.057432, 0.028370, 0.129821, 4
0.051840, 0.023603, 0.750131, 0.112307, 0.030959, 0.004378, 0.026782, 5
0.019291, 0.410366, 0.186265, 0.198163, 0.030335, 0.115977, 0.039604, 6
0.046502, 0.191134, 0.171064, 0.367989, 0.085326, 0.096082, 0.041903, 7
0.103964, 0.062964, 0.165786, 0.466976, 0.116519, 0.030564, 0.053228, 1
0.018579, 0.436731, 0.098810, 0.222903, 0.026050, 0.069204, 0.127724, 2
0.024120, 0.519466, 0.126004, 0.063123, 0.023555, 0.099943, 0.143788, 3
0.035815, 0.152603, 0.104437, 0.478195, 0.073524, 0.057414, 0.098011, 4
0.205676, 0.159664, 0.299606, 0.208205, 0.057500, 0.027634, 0.041715, 5
0.049232, 0.111505, 0.196186, 0.453245, 0.055587, 0.088956, 0.045288, 6
0.082529, 0.082634, 0.145921, 0.463133, 0.137121, 0.029009, 0.059654, 7
0.092796, 0.120489, 0.329372, 0.285387, 0.072789, 0.027991, 0.071176, 1
0.017137, 0.495017, 0.088555, 0.036225, 0.021821, 0.078349, 0.262896, 2
0.007817, 0.096078, 0.857813, 0.009014, 0.006820, 0.010215, 0.012244, 3
0.031693, 0.544576, 0.163524, 0.055604, 0.041192, 0.065878, 0.097534, 4
0.037354, 0.045532, 0.785467, 0.054882, 0.016157, 0.003205, 0.057403, 5
0.019133, 0.483721, 0.158615, 0.066389, 0.022609, 0.074899, 0.174635, 6
0.015954, 0.087516, 0.549296, 0.045846, 0.009499, 0.006859, 0.285029, 7
0.076795, 0.110325, 0.057989, 0.470249, 0.165210, 0.088006, 0.031426, 1
0.024911, 0.590644, 0.065856, 0.058089, 0.029333, 0.085478, 0.145688, 2
0.231898, 0.134589, 0.324135, 0.130911, 0.100766, 0.053540, 0.024161, 3
0.020209, 0.244754, 0.238593, 0.284686, 0.035643, 0.039048, 0.137066, 4
0.208084, 0.058689, 0.314424, 0.277446, 0.077976, 0.010870, 0.052512, 5
0.031169, 0.411714, 0.183987, 0.180093, 0.059915, 0.076611, 0.056511, 6
0.021120, 0.439983, 0.188245, 0.107829, 0.030141, 0.060702, 0.151979, 7
